Gata2,Gata1,Fog1,EKLF,Fli1,SCL,Cebpa,Pu.1,cJun,EgrNab,Gfi1,labels
0.8032,-0.0005,-1.00E-04,0.0003,0.0013,0.0011,0.7997,0.8017,0.0006,0.0009,0.0002,root
0.7239,0.0016,-0.0003,-0.001,0.0011,0.0022,0.8195,0.7256,0.0784,0.0077,0.0941,progenitorMo
0.6578,0.0013,-0.001,-0.0027,0.0025,0.0011,0.8358,0.6624,0.1105,0.0239,0.1497,progenitorMo
0.5972,0.0038,-0.0009,-0.0064,0.0007,-0.0036,0.8534,0.5992,0.1271,0.0311,0.1702,progenitorMo
0.5396,0.0071,-0.0029,-0.0063,0.0011,-0.007,0.8656,0.547,0.1385,0.0379,0.1752,progenitorMo
0.4897,0.011,-0.0023,-0.0061,0.0013,-0.0034,0.8759,0.4998,0.1496,0.0459,0.1747,progenitorMo
0.4449,0.0153,-0.002,-0.0089,0.0003,-0.0057,0.8854,0.4516,0.1569,0.0489,0.1727,progenitorMo
0.4078,0.0131,-0.0013,-0.0121,-0.0024,-0.0076,0.8986,0.4096,0.1666,0.0556,0.1661,progenitorMo
0.3719,0.0156,0.0021,-0.0105,-0.0007,-0.0066,0.9062,0.3742,0.1731,0.0631,0.1623,progenitorMo
0.3424,0.0175,0.0027,-0.0083,-0.0045,-0.0017,0.9135,0.3433,0.1781,0.0698,0.1565,progenitorMo
0.3143,0.0179,-1.00E-04,-0.01,-0.0042,-0.0039,0.9191,0.3175,0.1891,0.0785,0.1473,progenitorMo
0.29,0.0215,-0.0007,-0.0069,-0.0034,-0.0018,0.928,0.2934,0.1988,0.0844,0.1371,progenitorMo
0.2674,0.0255,-0.002,-0.0074,-0.003,-0.0013,0.9373,0.2749,0.2103,0.0942,0.1301,progenitorMo
0.2519,0.0284,-0.0011,-0.0029,-0.0037,-0.0022,0.9424,0.26,0.2211,0.102,0.1193,progenitorMo
0.2353,0.0371,0.0009,-0.0017,-0.0018,0,0.9492,0.2439,0.2336,0.1114,0.1089,progenitorMo
0.221,0.0413,0.0009,-0.0028,0.0019,0.0025,0.9503,0.2353,0.2473,0.1219,0.1018,progenitorMo
0.2077,0.0423,0.0003,-0.0016,0.0047,0.0057,0.9527,0.2248,0.2645,0.1389,0.0915,progenitorMo
0.1986,0.0464,-0.0005,0.0012,0.0025,0.0081,0.9551,0.2187,0.2866,0.1572,0.0846,progenitorMo
0.1914,0.0531,0.002,0.0035,0.0022,0.0143,0.9573,0.2117,0.3103,0.1756,0.0761,progenitorMo
0.1818,0.0613,0.0037,0.0063,0.0018,0.0179,0.9579,0.2034,0.3332,0.2,0.0722,progenitorMo
0.1734,0.0666,0.0069,0.0066,0.0053,0.0218,0.9585,0.2051,0.3505,0.2227,0.0672,progenitorMo
0.172,0.0715,0.0052,0.0112,0.0066,0.026,0.9586,0.2025,0.3742,0.2433,0.0567,progenitorMo
0.1638,0.0762,0.0084,0.0177,0.0096,0.0289,0.9655,0.1981,0.3971,0.2726,0.0492,progenitorMo
0.1556,0.0826,0.009,0.0151,0.0125,0.0374,0.9661,0.1974,0.4208,0.2965,0.0461,progenitorMo
0.1515,0.0831,0.0117,0.0169,0.0101,0.0385,0.9724,0.1936,0.445,0.3236,0.0395,progenitorMo
0.1475,0.0821,0.0123,0.0174,0.015,0.0429,0.9757,0.1898,0.4697,0.3503,0.0346,progenitorMo
0.148,0.0842,0.0137,0.0186,0.0133,0.0468,0.9751,0.19,0.4953,0.3773,0.0297,progenitorMo
0.144,0.087,0.0101,0.0184,0.0152,0.0544,0.9734,0.1893,0.5165,0.4037,0.0264,progenitorMo
0.1463,0.0892,0.009,0.0231,0.0156,0.0551,0.976,0.1906,0.532,0.4323,0.0203,progenitorMo
0.1413,0.0919,0.0085,0.0255,0.0193,0.0594,0.9795,0.1887,0.5534,0.4581,0.0198,progenitorMo
0.1415,0.0919,0.0067,0.0273,0.0218,0.0629,0.9853,0.1891,0.568,0.4826,0.0224,progenitorMo
0.1385,0.0952,0.0072,0.0306,0.0209,0.0687,0.9866,0.1904,0.5856,0.5025,0.0213,progenitorMo
0.1386,0.0993,0.0075,0.0265,0.0268,0.073,0.9878,0.1916,0.6031,0.5224,0.0198,progenitorMo
0.1337,0.1011,0.0061,0.0237,0.0242,0.0751,0.9897,0.1885,0.619,0.5403,0.0177,progenitorMo
0.1318,0.1009,0.0046,0.0278,0.0267,0.0793,0.9925,0.1892,0.6339,0.5546,0.0173,progenitorMo
0.1295,0.1035,0.0074,0.03,0.0266,0.0817,0.9967,0.1855,0.6451,0.5754,0.0171,progenitorMo
0.1284,0.1001,0.0063,0.0299,0.0293,0.0868,0.9949,0.1841,0.6546,0.5917,0.0112,progenitorMo
0.1246,0.1018,0.0112,0.0354,0.0264,0.0901,0.9949,0.1886,0.6651,0.6068,0.0119,progenitorMo
0.123,0.1057,0.0079,0.0353,0.03,0.0972,0.989,0.1858,0.6758,0.621,0.0118,progenitorMo
0.1184,0.104,0.0087,0.0357,0.0303,0.0996,0.9889,0.1861,0.6811,0.63,0.0092,progenitorMo
0.1191,0.1036,0.0092,0.0322,0.0303,0.1016,0.9881,0.1853,0.6913,0.6417,0.0084,progenitorMo
