X1,X2,labels
0.8052,0.788,root
0.7378,0.7237,inter1
0.6568,0.6589,inter1
0.5926,0.5886,inter1
0.5454,0.5314,inter1
0.4869,0.4905,inter1
0.449,0.4493,inter1
0.4,0.4066,inter1
0.3722,0.3757,inter1
0.3355,0.3014,inter1
0.3004,0.3247,inter1
0.2922,0.2865,inter1
0.2728,0.2553,inter1
0.2533,0.2504,inter1
0.2341,0.2504,inter1
0.2275,0.2192,inter1
0.216,0.212,inter1
0.2164,0.2017,inter1
0.203,0.1865,inter1
0.2145,0.1973,inter1
0.1901,0.1991,inter1
0.1857,0.1772,inter1
0.214,0.1781,inter1
0.1823,0.1899,inter1
0.182,0.1734,inter1
0.2038,0.1831,branch1
0.1878,0.1833,branch1
0.2071,0.1546,branch1
0.1868,0.1561,branch1
0.1931,0.1545,branch1
0.1971,0.1606,branch1
0.2048,0.148,branch1
0.2007,0.1665,branch1
0.2005,0.1567,branch1
0.2335,0.1688,branch1
0.1923,0.1687,branch1
0.2037,0.1463,branch1
0.2114,0.162,branch1
0.2258,0.151,branch1
0.2349,0.1464,branch1
0.2294,0.1453,branch1
0.2369,0.1557,branch1
0.2425,0.1334,branch1
0.224,0.144,branch1
0.2479,0.1287,branch1
0.2506,0.1361,branch1
0.2693,0.1287,branch1
0.2716,0.1226,branch1
0.2859,0.1214,branch1
0.2877,0.1017,branch1
0.2892,0.1042,branch1
0.2916,0.0954,branch1
0.3211,0.0971,branch1
0.3365,0.0777,branch1
0.3389,0.0806,branch1
0.3828,0.0666,branch1
0.388,0.0715,branch1
0.4092,0.0604,branch1
0.4341,0.059,branch1
0.4671,0.0591,branch1
0.4888,0.0547,branch1
0.5179,0.0392,branch1
0.5429,0.0457,branch1
0.5542,0.0351,branch1
0.5775,0.0466,branch1
0.6189,0.0559,branch1
0.6583,0.01,branch1
0.6781,0.0164,branch1
0.6738,0.0121,branch1
0.7266,0.0161,branch1
0.7365,0.0267,branch1
0.7676,0.0108,branch1
0.7802,0.0189,branch1
0.7919,0.0223,branch1
0.7964,0,branch1
0.8168,0.0206,branch1
0.8357,-0.0017,branch1
0.859,0.0064,branch1
0.8631,-0.0063,branch1
0.8778,0.0118,branch1
0.8959,0.0151,branch1
0.8889,0.0045,branch1
0.8988,-0.0017,branch1
0.9048,0.0015,branch1
0.9058,0.0184,branch1
0.9106,0.0078,branch1
0.9427,0.0061,branch1
0.9504,-0.0172,branch1
0.9399,-0.0146,branch1
0.9312,-0.0045,branch1
0.9287,0.0014,branch1
0.958,-0.0219,branch1
0.9492,0.0117,branch1
0.9513,-0.0021,branch1
0.9775,-0.0108,branch1
0.9771,0.0123,branch1
0.9576,0.0039,branch1
0.9823,-0.0137,branch1
0.9726,0.0075,branch1
0.9791,-0.0249,branch1
0.7856,0.7909,inter2
0.7232,0.7316,inter2
0.6652,0.6568,inter2
0.5844,0.5871,inter2
0.5261,0.5367,inter2
0.4828,0.4746,inter2
0.4317,0.434,inter2
0.3951,0.4049,inter2
0.3363,0.3738,inter2
0.3265,0.3413,inter2
0.3014,0.312,inter2
0.2903,0.2915,inter2
0.2452,0.2735,inter2
0.2541,0.2485,inter2
0.2376,0.2455,inter2
0.2073,0.2364,inter2
0.2148,0.2256,inter2
0.2077,0.2291,inter2
0.201,0.2009,inter2
0.183,0.2009,inter2
0.173,0.1904,inter2
0.185,0.1854,inter2
0.1864,0.1781,inter2
0.1844,0.2072,inter2
0.184,0.1829,inter2
0.1703,0.1929,inter2
0.191,0.1755,inter2
0.1793,0.1873,inter2
0.1672,0.1985,inter2
0.1709,0.187,inter2
0.1602,0.1806,inter2
0.1674,0.1905,inter2
0.1586,0.1792,inter2
0.1521,0.1885,inter2
0.1617,0.1938,inter2
0.1813,0.182,inter2
0.171,0.1927,inter2
0.1813,0.1973,inter2
0.1668,0.1812,inter2
0.1697,0.1911,inter2
0.1802,0.1937,inter2
0.1641,0.2023,inter2
0.1605,0.1742,inter2
0.1634,0.2003,inter2
0.1485,0.2187,inter2
0.1607,0.1984,branch2
0.1578,0.2125,branch2
0.1378,0.2091,branch2
0.163,0.208,branch2
0.1525,0.2239,branch2
0.1459,0.2286,branch2
0.1377,0.2348,branch2
0.1228,0.2197,branch2
0.1515,0.2485,branch2
0.1118,0.2391,branch2
0.1275,0.2648,branch2
0.1248,0.2458,branch2
0.1199,0.28,branch2
0.1128,0.2795,branch2
0.0929,0.2965,branch2
0.1039,0.3032,branch2
0.0973,0.3214,branch2
0.0875,0.3213,branch2
0.0771,0.3611,branch2
0.0652,0.3762,branch2
0.0894,0.3851,branch2
0.0579,0.4128,branch2
0.0593,0.4368,branch2
0.0598,0.4614,branch2
0.0671,0.5108,branch2
0.0523,0.517,branch2
0.0545,0.537,branch2
0.0182,0.5819,branch2
0.0376,0.6036,branch2
0.0318,0.6148,branch2
0.0389,0.6596,branch2
0.0265,0.6772,branch2
0.0222,0.7121,branch2
0.0297,0.7199,branch2
0.03,0.7359,branch2
0.0108,0.7798,branch2
0.0335,0.7786,branch2
0.0247,0.8034,branch2
0.0248,0.8071,branch2
-0.0007,0.8537,branch2
0.0087,0.8359,branch2
0.0065,0.8508,branch2
-0.0025,0.8516,branch2
0.0052,0.8746,branch2
0.0136,0.8971,branch2
0.0023,0.8802,branch2
0.0133,0.9154,branch2
0.0067,0.918,branch2
0.0115,0.9287,branch2
0.001,0.9201,branch2
0.007,0.9266,branch2
0.0115,0.9389,branch2
0.0145,0.9367,branch2
0.0012,0.9513,branch2
0.0075,0.9499,branch2
