Cbfa2t3h,Cdh1,Cdh5,Egfl7,Erg,Ets1,Ets2,Etv2,Etv6,Fli1,FoxH1,FoxO4,Gata1,Gfi1,Gfi1b,HbbbH1,Hhex,HoxB2,HoxB4,HoxD8,Ikaros,Itga2b,Kdr,Kit,Ldb1,Lmo2,Lyl1,Mecom,Meis1,Mitf,Myb,Nfe2,Notch1,Pecam1,Procr,Runx1,Sfpi1,Sox17,Sox7,Tal1,Tbx20,Tbx3,labels
-2.5988557,-14,1.8151013,-0.09616803,-4.0385933,-2.8360667,1.1315488,-0.6719631,-1.6368504,3.4236817,0.39495054,-2.3769362,-4.924172,-14,-14,-4.061287,-2.4758694,-14,-4.0384245,-14,-4.2595716,-4.777245,1.0470103,-3.0104468,-3.4885094,-3.050089,-0.4067461,-5.1287456,-1.9285789,-7.275552,-14,-14,-5.00328,-0.046818946,-2.222565,-3.4703481,-4.478411,-3.14228,-0.41408476,0.14474502,-8.1020975,-2.4773173,HF
-14,-14,-14,-3.9134173,-14,-4.657568,-1.9012489,-0.9745269,-2.4265265,0.9515141,-0.8698439,-0.62598103,-14,-14,-14,-14,-2.1030498,-14,-14,-14,-14,-14,1.5574012,-1.8063247,-2.7316847,-14,-14,-14,-14,-14,-3.9446132,-14,-3.4779897,-4.6128564,-14,-14,-14,-14,-1.3818572,1.1564806,-5.832248,-2.7932525,HF
-14,-14,-14,-4.4601417,-14,-3.9951048,-0.29849923,0.9884618,-3.2743852,-2.1798718,0.62549454,-1.174192,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,2.3466196,-0.31444982,-1.5077215,-14,-14,-14,-14,-14,-3.6914682,-14,-5.254561,-14,-14,-14,-14,-14,-3.849392,-1.7414731,-5.7272935,-4.207901,HF
-14,-14,-14,-14,-14,-5.3071694,-3.5266058,-1.6890755,-3.2875688,-14,0.8538236,-1.6305604,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,0.071580686,-4.8117566,-14,-14,-14,-14,0.15817566,-4.4076724,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,-6.280627,-2.1312938,HF
-3.9072578,-14,0.019497022,-0.7158452,-2.5463033,-2.370982,0.6185668,-1.1719047,-2.2685695,2.8891497,-0.68129313,-1.8337985,-14,-14,-14,-14,-2.2982101,-14,-14,-14,-14,-4.8741384,1.5025964,-3.2036119,-1.1766244,-4.9005294,-1.3633034,-6.3023744,-0.6405118,-14,-14,-14,-4.2070312,-2.3384285,-14,-6.26547,-4.9321804,-4.086891,-1.6000173,0.004373813,-6.5541544,-14,HF
-14,-14,-14,-4.559221,-14,-6.5363674,-3.6236916,-1.7593968,-4.6449094,-3.7474494,0.48581952,-4.6397324,-14,-14,-14,-14,-14,-14,-14,-14,-14,-14,0.12508783,-5.5413594,-1.7786406,-14,-14,-14,-1.9047982,-6.0469036,-14,-14,-9.182411,-14,-14,-4.4661303,-14,-14,-14,-2.7880728,-8.462767,-14,HF
-3.590741,-14,-14,-2.7454867,-3.5681667,-5.484121,-0.18200128,0.42937216,-1.1249264,1.3757664,0.8761689,-1.5060391,-14,-14,-14,-14,-2.3497996,-14,-14,-14,-5.653785,-4.2123046,1.2861695,-14,-1.5325084,-4.4257545,-14,-14,-0.21575123,-6.089228,-14,-14,-5.118319,-14,-4.4932094,-5.3808146,-14,-4.138299,-1.6154373,0.6335769,-6.5325727,-3.899629,HF
-14,-4.6708775,-14,-14,-5.3075857,-4.321609,-1.9480525,-0.15584302,-2.7781422,-3.438702,0.470114,-1.3723239,-14,-5.6040306,-14,-14,-3.8640683,-14,-4.424341,-14,-14,-14,1.1756719,-4.762739,-1.3186474,-6.7335305,-14,-4.6270585,-0.28509796,-5.113298,-14,-14,-6.115636,-6.6520276,-14,-6.686638,-14,-14,-4.3044915,-0.604229,-6.1359406,-5.270095,HF
-1.3323213,-14,3.7057488,0.08903961,-1.7414109,-2.985069,2.7861552,-2.1231678,-1.4190941,1.1975088,-0.7220128,-2.3197587,-14,-3.1409657,-2.857832,-2.1049728,-2.1211247,-14,-4.094528,-14,-5.5662045,-2.1735673,0.8650351,-1.6557281,-4.0000196,-14,0.5617864,-14,-2.2431257,-6.8153334,-3.9182663,-6.36806,-4.1725802,-0.9130516,-1.1080207,0.47890934,-3.0405545,-14,-1.7438843,-0.19012642,-14,-4.617106,HF
-3.165222,-14,1.907606,0.4858804,-1.4085761,-1.7455422,1.1518505,-0.45208126,-2.955229,2.9250677,-0.5976926,-2.3773913,-14,-14,-14,-14,-2.8002825,-14,-2.5916939,-14,-5.1264377,-4.108613,1.8752582,-1.2339708,-2.1332757,-4.2805047,-0.33413798,-5.140203,-0.7331366,-14,-14,-14,-4.6271405,-1.842952,-14,-4.085858,-6.0885873,-2.5202334,-1.2260807,-0.10886498,-7.76238,-4.607922,HF
